barrio, Venta
castropol medellín,3
las lomas i,7
san joaquín,6
barrio belen la gloria,1
bosques de san pablo,1
los balsos n 2,2
la alpujarra,1
colombia,3
los balsos n 1,4
cuarta brigada,1
nueva villa de aburrá,1
alto las palmas,2
poblado vía las palmas,5
poblado lalinde,1
abadia,3
los balsos el poblado,1
belen guayabal la mota,1
loma los parra,5
la dalia,1
laureles parque,2
san javier medellin,4
villahermosa,9
calasanz occidente,16
el poblado san lucas,7
laureles conquistadores,2
villa de aburrá,2
laureles las acasias,1
santa gema,2
occidente belen loma de los bernal,1
patio bonito el poblado,1
el poblado el campestre,2
estadio el velódromo,1
lomas de los bernal,1
poblado balsos,1
poblado la concha,2
medellin las palmas,1
belen veleros,1
las santas el poblado,1
laureles segundo parque,2
sucre boston,2
el poblado loma de los balsos,1
ceylan,2
santamaria de los ángeles el poblado,5
naranjal,5
occidente conquistadores,8
3 laureles la america estadio conquistadores castillas pedregal tricentenario bello,2
el poblado sector vizcaya,1
poblado alejandria,7
belen rodeo,5
poblado los balsos,25
edificio galicia castropol,1
poblado la frontera,3
torre los angeles,1
el poblado milla de oro,2
las lomas 2,5
sur oriente el tesoro,1
castropol parte baja,1
los conquistadores,3
sur oriente,4
sur loma del indio,2
belen la palma,3
sur poblado santa maria de los angeles,2
poblado las palmas,3
envigado ,3
belen granada,4
villa del aburra,1
sur poblado,17
campo valdez,4
belen alpes,1
nogal,3
poblado el campestre,6
san giorgio 3,1
belen los molinos,2
nororiente campo valdes,1
loreto,16
occidente simón bolívar,3
poblado parte baja,2
oriente,1
loma de benedictinos,1
el velódromo occidente,4
occidente laureles,9
belen loma de los bernal,5
occidente la castellana,5
occidente belen la palma,2
edificio bariloche,1
nutibara,4
belen la castellana,1
miravalle,2
miraflores,4
poblado el castillo,1
sur el poblado,1
santa mara de los ngeles,1
poblado el diamante,1
santa maria,2
occidente estadio,4
laureles sector santa teresita,5
belen malibú,11
la milla de oro,3
laureles simon bolivar,1
alejandria poblado medellín,1
el poblado los balsos,10
poblado loma de los parra,3
beln san bernardo,1
via linares,2
la abadia,1
laureles la nutibara,1
sucre,3
el poblado la linde,1
belen miravalle,1
parques del rio,2
villa de aburra,3
occidente los colores,3
la villa,1
belen malibú,10
envigado las vegas cerca a jumbo,1
escobero,1
manrique central nro 1,1
lasa vegas,1
sur poblado san lucas,2
zúñiga,1
sur poblado castropol,2
bosques de zuñiga,1
occidente belen rosales,2
occidente calasanz,5
los balsos poblado,5
nororiente manrique,1
san benito,1
occidente carlos e restrepo,1
poblado ciudad del rió,1
loma de alejandría,1
calazanz,2
santa maria de los angeles poblado,5
zona centro,3
centro de medellin,2
poblado clinica medellin,1
